date,actual,predicted,residual,abs_error,squared_error,model_family,spec,dataset,vix_lag1,sentiment_extreme_lag1,vix_regime,sentiment_regime,rolling_mae_20,rolling_rmse_20,rolling_mean_residual_20
2024-01-02,-0.0169012917481504,-0.0005395626137438235,-0.016361729134406578,0.016361729134406578,0.00026770618026768906,ols,macro_extreme,test,12.45,0.1666666666666666,normal_vix,normal_extreme_sentiment,,,
2024-01-03,-0.0106616790298333,-0.00025174736494737194,-0.010409931664885927,0.010409931664885927,0.00010836667726759468,ols,macro_extreme,test,13.2,0.4444444444444444,normal_vix,high_extreme_sentiment,,,
2024-01-04,-0.0052973566092027,-0.0002331231698032836,-0.005064233439399417,0.005064233439399417,2.5646460328731244e-05,ols,macro_extreme,test,14.04,0.3571428571428571,normal_vix,normal_extreme_sentiment,,,
2024-01-05,0.001471137512673,-0.00022224689479868653,0.0016933844074716864,0.0016933844074716864,2.8675507514682344e-06,ols,macro_extreme,test,14.13,0.3571428571428571,normal_vix,normal_extreme_sentiment,,,
2024-01-08,0.0208704165289339,-0.0003498308448854073,0.021220247373819306,0.021220247373819306,0.0004502988986060852,ols,macro_extreme,test,13.35,0.2916666666666667,normal_vix,normal_extreme_sentiment,,,
2024-01-09,0.0017300524285968,-0.00022067239830059082,0.0019507248268973907,0.0019507248268973907,3.8053273502738548e-06,ols,macro_extreme,test,13.08,0.5,normal_vix,high_extreme_sentiment,,,
2024-01-10,0.0068327474594893,-0.0004603027155569292,0.007293050175046229,0.007293050175046229,5.318858085574183e-05,ols,macro_extreme,test,12.76,0.2258064516129032,normal_vix,normal_extreme_sentiment,,,
2024-01-11,0.0016570272030748,-0.00028194977848398196,0.001938976981558782,0.001938976981558782,3.7596317350148053e-06,ols,macro_extreme,test,12.69,0.4705882352941176,normal_vix,high_extreme_sentiment,,,
2024-01-12,0.0007143041502837,-0.0004926169627625642,0.0012069211130462643,0.0012069211130462643,1.4566585731168335e-06,ols,macro_extreme,test,12.44,0.2272727272727272,normal_vix,normal_extreme_sentiment,,,
2024-01-16,-0.0001312386288572,-0.0004021592773724237,0.00027092064851522374,0.00027092064851522374,7.33979977919094e-08,ols,macro_extreme,test,12.7,0.3125,normal_vix,normal_extreme_sentiment,,,
2024-01-17,-0.0056264734541675,-7.904775026802599e-05,-0.005547425703899474,0.005547425703899474,3.077393194028458e-05,ols,macro_extreme,test,13.84,0.5833333333333334,normal_vix,high_extreme_sentiment,,,
2024-01-18,0.0145922049996853,-0.00014781324042404572,0.014740018240109346,0.014740018240109346,0.00021726813771875622,ols,macro_extreme,test,14.79,0.3636363636363636,normal_vix,normal_extreme_sentiment,,,
2024-01-19,0.0193444416618312,-3.543433177200352e-05,0.019379875993603204,0.019379875993603204,0.00037557959352743777,ols,macro_extreme,test,14.13,0.6,normal_vix,high_extreme_sentiment,,,
2024-01-22,0.0009456575750181,-0.0005732621001792765,0.0015189196751973764,0.0015189196751973764,2.3071169797017035e-06,ols,macro_extreme,test,13.3,0.0,normal_vix,normal_extreme_sentiment,,,
2024-01-23,0.0042511044749934,-0.000379142055856667,0.004630246530850067,0.004630246530850067,2.1439182936449083e-05,ols,macro_extreme,test,13.19,0.2727272727272727,normal_vix,normal_extreme_sentiment,,,
2024-01-24,0.0054487399304954,-0.00043032417186788195,0.005879064102363282,0.005879064102363282,3.456339471969658e-05,ols,macro_extreme,test,12.55,0.2903225806451613,normal_vix,normal_extreme_sentiment,,,
2024-01-25,0.0010103557011173,-5.972325901937829e-05,0.0010700789601366782,0.0010700789601366782,1.1450689809271944e-06,ols,macro_extreme,test,13.14,0.7,normal_vix,high_extreme_sentiment,,,
2024-01-26,-0.0054943448510703,-0.00023422680752173479,-0.005260118043548565,0.005260118043548565,2.7668841832065185e-05,ols,macro_extreme,test,13.45,0.4285714285714285,normal_vix,high_extreme_sentiment,,,
2024-01-29,0.0100099855018983,-0.0003613421186231585,0.010371327620521458,0.010371327620521458,0.0001075644366121913,ols,macro_extreme,test,13.26,0.2857142857142857,normal_vix,normal_extreme_sentiment,,,
2024-01-30,-0.0068177300734869,-0.000191452038281461,-0.006626278035205439,0.006626278035205439,4.390756059984605e-05,ols,macro_extreme,test,13.6,0.4666666666666667,normal_vix,high_extreme_sentiment,0.007121673633524085,0.009432355563645975,0.002194702031389545
2024-01-31,-0.0196153040105769,-0.00044818244373126526,-0.019167121566845635,0.019167121566845635,0.0003673785491582391,ols,macro_extreme,test,13.31,0.1666666666666666,normal_vix,normal_extreme_sentiment,0.007261943255146038,0.009692932988707322,0.002054432409767592
2024-02-01,0.0120337277753201,-2.886679219075343e-05,0.012062594567510854,0.012062594567510854,0.00014550618770014235,ols,macro_extreme,test,14.35,0.5833333333333334,normal_vix,high_extreme_sentiment,0.007344576400277285,0.009788254463651731,0.003178058721387431
2024-02-02,0.0170362122607454,-0.00021786537408203697,0.017254077634827437,0.017254077634827437,0.00029770319502865237,ols,macro_extreme,test,13.88,0.4,normal_vix,normal_extreme_sentiment,0.007954068610048683,0.010460055553399041,0.0042939742750987735
2024-02-05,-0.0016843435082735,-0.0003518769219920339,-0.0013324665862814661,0.0013324665862814661,1.7754672035565838e-06,ols,macro_extreme,test,13.85,0.2222222222222222,normal_vix,normal_extreme_sentiment,0.007936022718989173,0.010457445099200786,0.004142681725411116
2024-02-06,-0.0022911882798343,-0.00022390034302358685,-0.002067287936810713,0.002067287936810713,4.273679413683094e-06,ols,macro_extreme,test,13.67,0.4117647058823529,normal_vix,high_extreme_sentiment,0.006978374747138744,0.009330428556244264,0.0029783049598796152
2024-02-07,0.0103228312493516,-0.00016699233342060943,0.01048982358277221,0.01048982358277221,0.00011003639879768399,ols,macro_extreme,test,13.06,0.5714285714285714,normal_vix,high_extreme_sentiment,0.007405329684932485,0.009610850670754848,0.0034052598976733557
2024-02-08,0.001581373475192,-0.0003703896592366395,0.0019517631344286395,0.0019517631344286395,3.8093793329147074e-06,ols,macro_extreme,test,12.83,0.3333333333333333,normal_vix,normal_extreme_sentiment,0.007138265332901605,0.009481534187008322,0.0031381955456424764
2024-02-09,0.0100287496384272,-0.0002891755824475251,0.010317925220874725,0.010317925220874725,0.00010645958086356274,ols,macro_extreme,test,12.79,0.4444444444444444,normal_vix,high_extreme_sentiment,0.007557212744867403,0.009748563381126214,0.003557142957608274
2024-02-12,-0.0044497126601682,-0.0004592913134360803,-0.00399042134673212,0.00399042134673212,1.5923462524455384e-05,ols,macro_extreme,test,12.93,0.2,normal_vix,normal_extreme_sentiment,0.007696387756551697,0.009785592889212278,0.003297275834619354
2024-02-13,-0.0159087760358076,-0.0002927321191711585,-0.015616043916636442,0.015616043916636442,0.00024386082760631802,ols,macro_extreme,test,13.93,0.2857142857142857,normal_vix,normal_extreme_sentiment,0.008463643919957757,0.01038976417796998,0.002502927606361771
2024-02-14,0.0117043044404282,-0.000184339042302446,0.011888643482730646,0.011888643482730646,0.00014133984385947387,ols,macro_extreme,test,15.85,0.1666666666666666,normal_vix,normal_extreme_sentiment,0.008780704808899314,0.010652487750276348,0.0033747310656932774
2024-02-15,0.0021366775672958,-1.980201538855222e-05,0.0021564795826843524,0.0021564795826843524,4.650404190534478e-06,ols,macro_extreme,test,14.38,0.5833333333333334,normal_vix,high_extreme_sentiment,0.008151527876028065,0.010141233090377942,0.0027455541328220276
2024-02-16,-0.0089914811456499,-0.0003100869839434127,-0.008681394161706487,0.008681394161706487,7.536660459091148e-05,ols,macro_extreme,test,14.01,0.25,normal_vix,normal_extreme_sentiment,0.007616603784433229,0.009371977333868785,0.0013424906250565432
2024-02-20,-0.0079405810871434,-0.00014175978532884398,-0.007798821301814557,0.007798821301814557,6.08216136976365e-05,ols,macro_extreme,test,14.24,0.44,normal_vix,high_extreme_sentiment,0.00793059886576409,0.009526787705331058,0.0008766035762059462
2024-02-21,-0.003836660488802,-0.00019745696173371406,-0.0036392035270682863,0.0036392035270682863,1.3243802311426255e-05,ols,macro_extreme,test,15.42,0.2083333333333333,normal_vix,normal_extreme_sentiment,0.007881046715575,0.009505257226987382,0.00046313107331002866
2024-02-22,0.0296377712892022,-4.681618035771789e-07,0.029638239451005778,0.029638239451005778,0.0008784252377551553,ols,macro_extreme,test,15.34,0.4782608695652174,normal_vix,high_extreme_sentiment,0.009069005483007124,0.011512732390834455,0.0016510898407421533
2024-02-23,-0.0037332004700284,-0.00044321234921486797,-0.003289988120813532,0.003289988120813532,1.0824021835094156e-05,ols,macro_extreme,test,14.54,0.0,normal_vix,normal_extreme_sentiment,0.009180000941040968,0.011533731171900841,0.0014330864866946428
2024-02-26,-0.0002385940798061,-0.0002925022367395304,5.3908156933430416e-05,5.3908156933430416e-05,2.906089383959362e-09,ols,macro_extreme,test,13.75,0.3076923076923077,normal_vix,normal_extreme_sentiment,0.008919690446710211,0.011473607016040905,0.0016987877967187426
2024-02-27,0.002101176296599,-0.00030970508583889867,0.0024108813824378983,0.0024108813824378983,5.8123490401856716e-06,ols,macro_extreme,test,13.74,0.2857142857142857,normal_vix,normal_extreme_sentiment,0.008521668134806032,0.011249713488793518,0.0013007654848145647
2024-02-28,-0.0053870571181434,-0.00017861434134414713,-0.005208442776799253,0.005208442776799253,2.7127876159192313e-05,ols,macro_extreme,test,13.43,0.5,normal_vix,high_extreme_sentiment,0.008450776371885722,0.01121236234510418,0.0013716572477348741
2024-02-29,0.0094297686894349,-0.0003185253710380718,0.009748294060472971,0.009748294060472971,9.502923708945262e-05,ols,macro_extreme,test,13.84,0.2608695652173913,normal_vix,normal_extreme_sentiment,0.00797983499656709,0.010587710033546952,0.0028174280291008045
2024-03-01,0.0142551872856352,-0.0002369530864703719,0.014492140372105573,0.014492140372105573,0.00021002213256481224,ols,macro_extreme,test,13.4,0.4285714285714285,normal_vix,high_extreme_sentiment,0.008101312286796825,0.010738966477166427,0.0029389053193305406
