date,actual,predicted,residual,abs_error,squared_error,model_family,spec,dataset,vix_lag1,sentiment_extreme_lag1,vix_regime,sentiment_regime
2024-01-02,-0.0169012917481504,-0.00040193128313771137,-0.01649936046501269,0.01649936046501269,0.00027222889575442377,ols,macro_only,test,12.45,0.1666666666666666,normal_vix,normal_extreme_sentiment
2024-01-03,-0.0106616790298333,-0.00032169481160432154,-0.010339984218228978,0.010339984218228978,0.00010691527363322433,ols,macro_only,test,13.2,0.4444444444444444,normal_vix,high_extreme_sentiment
2024-01-04,-0.0052973566092027,-0.00023539639774483495,-0.005061960211457865,0.005061960211457865,2.5623441182382553e-05,ols,macro_only,test,14.04,0.3571428571428571,normal_vix,normal_extreme_sentiment
2024-01-05,0.001471137512673,-0.0002236112923359433,0.0016947488050089432,0.0016947488050089432,2.872173512079241e-06,ols,macro_only,test,14.13,0.3571428571428571,normal_vix,normal_extreme_sentiment
2024-01-08,0.0208704165289339,-0.00030305703295490505,0.021173473561888805,0.021173473561888805,0.0004483159826760042,ols,macro_only,test,13.35,0.2916666666666667,normal_vix,normal_extreme_sentiment
2024-01-09,0.0017300524285968,-0.000332387966989164,0.0020624403955859637,0.0020624403955859637,4.253660385344787e-06,ols,macro_only,test,13.08,0.5,normal_vix,high_extreme_sentiment
2024-01-10,0.0068327474594893,-0.00036542133465972235,0.007198168794149022,0.007198168794149022,5.181363398906079e-05,ols,macro_only,test,12.76,0.2258064516129032,normal_vix,normal_extreme_sentiment
2024-01-11,0.0016570272030748,-0.00037211083729864495,0.002029138040373445,0.002029138040373445,4.117401186890584e-06,ols,macro_only,test,12.69,0.4705882352941176,normal_vix,high_extreme_sentiment
2024-01-12,0.0007143041502837,-0.0003999607978783844,0.0011142649481620844,0.0011142649481620844,1.2415863747026528e-06,ols,macro_only,test,12.44,0.2272727272727272,normal_vix,normal_extreme_sentiment
2024-01-16,-0.0001312386288572,-0.00037347888433873056,0.00024224025548153056,0.00024224025548153056,5.8680341375757195e-08,ols,macro_only,test,12.7,0.3125,normal_vix,normal_extreme_sentiment
2024-01-17,-0.0056264734541675,-0.00025141100872851454,-0.005375062445438986,0.005375062445438986,2.889129629236853e-05,ols,macro_only,test,13.84,0.5833333333333334,normal_vix,high_extreme_sentiment
