date,model_family,spec,feature_spec_role,feature,feature_value_scaled,shap_value,abs_shap_value,dataset,tuned,best_params_json
2024-03-13,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,-1.4178830438036807,-4.030125273857266e-05,4.030125273857266e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-13,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,-1.7681451517269418,8.715142030268908e-05,8.715142030268908e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-14,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.447553757564811,-7.149940938688815e-05,7.149940938688815e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-14,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.076460066892697,-6.178548210300505e-05,6.178548210300505e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-14,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,-1.1103646310897661,-6.901750748511404e-05,6.901750748511404e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-14,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,-1.0207039480565034,0.00013481856149155647,0.00013481856149155647,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-15,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.524456868297511,-7.149940938688815e-05,7.149940938688815e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-15,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-0.9997908774282434,2.680272882571444e-05,2.680272882571444e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-15,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,-0.006192212257632166,-0.0003612292348407209,0.0003612292348407209,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-15,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,-0.9313044655197013,0.00024856702657416463,0.00024856702657416463,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-18,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.5398374904440506,-7.149940938688815e-05,7.149940938688815e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-03-18,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-0.9986113514364825,-6.604270311072469e-05,6.604270311072469e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
