model_family,spec,fold,n_train,n_val,val_start_date,val_end_date,cv_mae,cv_rmse,cv_r2
random_forest,macro_std,1,252,251,2021-01-04,2021-12-30,0.009134035572149988,0.01209305430273817,-0.0707723504525164
random_forest,macro_std,2,503,251,2021-12-31,2022-12-29,0.017339378762557124,0.02141357766980259,-0.09671463344874498
random_forest,macro_std,3,754,251,2022-12-30,2023-12-29,0.009839809435985657,0.012700877173862774,-0.2536992414886414
