model_family,spec,feature_spec_role,regime_type,regime_label,n_obs,mae,rmse,r2
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,high_extreme_sentiment,31,0.0067743770035457816,0.008579950811243674,0.05677620967490271
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,normal_extreme_sentiment,221,0.008815140182530256,0.011790250533951307,-0.001550510735974564
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,vix_regime,high_vix,4,0.01333229375052652,0.01651872504201579,-0.06276028560681945
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,vix_regime,normal_vix,248,0.008487187469544355,0.011343575134963823,0.004498673222672722
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,high_extreme_sentiment,31,0.007062833388000816,0.00929824289492055,-0.10776317490041643
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,normal_extreme_sentiment,221,0.0087691919836837,0.011669340868051584,0.018886070894527096
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,vix_regime,high_vix,4,0.012958764793101369,0.016302414753569108,-0.03510914162569079
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,vix_regime,normal_vix,248,0.008488323404232731,0.011307906373147148,0.01074934342224787
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,high_extreme_sentiment,31,0.007143822229860636,0.009229366631433346,-0.09141255893783296
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,normal_extreme_sentiment,221,0.008726525254175893,0.011656827991166123,0.020989013288710168
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,vix_regime,high_vix,4,0.013884423551307196,0.01685459489681143,-0.10641716677760904
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,vix_regime,normal_vix,248,0.00844549546811824,0.011276250764372801,0.016280252205638335
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,high_extreme_sentiment,31,0.007756880066174286,0.010456572076375709,-0.4009538232780834
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,normal_extreme_sentiment,221,0.008789037685281676,0.011711142581261973,0.01184442214443604
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_regime,high_vix,4,0.013590644902823629,0.016708166513586545,-0.08727614042993914
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_regime,normal_vix,248,0.008582572705190963,0.011462284886946197,-0.016446057984227824
xgboost,macro_only,RQ1_macro_baseline,sentiment_regime,high_extreme_sentiment,31,0.006775969862295368,0.008992651929631189,-0.03614543477971499
xgboost,macro_only,RQ1_macro_baseline,sentiment_regime,normal_extreme_sentiment,221,0.008787945640586346,0.011779725848591625,0.00023677939845112572
xgboost,macro_only,RQ1_macro_baseline,vix_regime,high_vix,4,0.013356076454901273,0.01653740997292027,-0.06516589902824221
xgboost,macro_only,RQ1_macro_baseline,vix_regime,normal_vix,248,0.008462769139036829,0.011373311060741203,-0.000727360473944838
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,high_extreme_sentiment,31,0.008007328985751313,0.010887836208679173,-0.5188969425965047
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,sentiment_regime,normal_extreme_sentiment,221,0.008832404270775791,0.011796379334600789,-0.0025920320857586443
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,vix_regime,high_vix,4,0.0132051910510465,0.016480368902698123,-0.05783060058497402
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,vix_regime,normal_vix,248,0.008658741041111107,0.011594917374846928,-0.04010517131808644
xgboost,sentiment_extreme_only,RQ2_standalone_sentiment,sentiment_regime,high_extreme_sentiment,31,0.007900387486327811,0.009652964207217807,-0.1938961226009821
xgboost,sentiment_extreme_only,RQ2_standalone_sentiment,sentiment_regime,normal_extreme_sentiment,221,0.008854353278650034,0.011842315427471712,-0.010415590606979608
xgboost,sentiment_extreme_only,RQ2_standalone_sentiment,vix_regime,high_vix,4,0.014311784561531754,0.016830677748934486,-0.10327932006626028
xgboost,sentiment_extreme_only,RQ2_standalone_sentiment,vix_regime,normal_vix,248,0.008647084469401987,0.01149133973854843,-0.02160560858396421
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,sentiment_regime,high_extreme_sentiment,31,0.0069469890066517674,0.00955241471237966,-0.1691533750968255
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,sentiment_regime,normal_extreme_sentiment,221,0.008905973071154524,0.011829161422854988,-0.008172172950379863
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,vix_regime,high_vix,4,0.0142508281893508,0.016725097529920633,-0.0894808128802489
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,vix_regime,normal_vix,248,0.00857489272247561,0.01147123227471833,-0.01803354018158898
xgboost,sentiment_std_only,RQ2_standalone_sentiment,sentiment_regime,high_extreme_sentiment,31,0.008318657366509068,0.011436682351784369,-0.6758890678118223
xgboost,sentiment_std_only,RQ2_standalone_sentiment,sentiment_regime,normal_extreme_sentiment,221,0.00894311167514323,0.011898748499866794,-0.020068554066966948
xgboost,sentiment_std_only,RQ2_standalone_sentiment,vix_regime,high_vix,4,0.014970285311964477,0.017368077330731545,-0.1748590226100788
xgboost,sentiment_std_only,RQ2_standalone_sentiment,vix_regime,normal_vix,248,0.008767842408550714,0.011732460496135836,-0.06492774104198351
