date,actual,predicted,residual,abs_error,squared_error,model_family,spec,feature_spec_role,dataset,tuned,n_features,feature_list,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,best_params_json,vix_lag1,sentiment_extreme_lag1,vix_regime,sentiment_regime,high_vix_threshold_train_q75,high_extreme_sentiment_threshold_train_q75
2024-01-02,-0.0169012917481504,0.0004042180084227699,-0.017305509756573172,0.017305509756573172,0.0002994806679348493,random_forest,macro_only,RQ1_macro_baseline,test,True,2,"dgs10_lag1, vix_lag1",0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",12.45,0.1666666666666666,normal_vix,normal_extreme_sentiment,26.3,0.4095816464237516
2024-01-03,-0.0106616790298333,0.0004042180084227699,-0.01106589703825607,0.01106589703825607,0.00012245407726128445,random_forest,macro_only,RQ1_macro_baseline,test,True,2,"dgs10_lag1, vix_lag1",0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",13.2,0.4444444444444444,normal_vix,high_extreme_sentiment,26.3,0.4095816464237516
2024-01-04,-0.0052973566092027,0.0004042180084227699,-0.00570157461762547,0.00570157461762547,3.250795312035102e-05,random_forest,macro_only,RQ1_macro_baseline,test,True,2,"dgs10_lag1, vix_lag1",0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",14.04,0.3571428571428571,normal_vix,normal_extreme_sentiment,26.3,0.4095816464237516
2024-01-05,0.001471137512673,0.0004042180084227699,0.00106691950425023,0.00106691950425023,1.1383172285495567e-06,random_forest,macro_only,RQ1_macro_baseline,test,True,2,"dgs10_lag1, vix_lag1",0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",14.13,0.3571428571428571,normal_vix,normal_extreme_sentiment,26.3,0.4095816464237516
2024-01-08,0.0208704165289339,0.0004042180084227699,0.02046619852051113,0.02046619852051113,0.0004188652818809719,random_forest,macro_only,RQ1_macro_baseline,test,True,2,"dgs10_lag1, vix_lag1",0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",13.35,0.2916666666666667,normal_vix,normal_extreme_sentiment,26.3,0.4095816464237516
2024-01-09,0.0017300524285968,0.0004042180084227699,0.00132583442017403,0.00132583442017403,1.7578369097182063e-06,random_forest,macro_only,RQ1_macro_baseline,test,True,2,"dgs10_lag1, vix_lag1",0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",13.08,0.5,normal_vix,high_extreme_sentiment,26.3,0.4095816464237516
2024-01-10,0.0068327474594893,0.0004042180084227699,0.00642852945106653,0.00642852945106653,4.1325990903229744e-05,random_forest,macro_only,RQ1_macro_baseline,test,True,2,"dgs10_lag1, vix_lag1",0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",12.76,0.2258064516129032,normal_vix,normal_extreme_sentiment,26.3,0.4095816464237516
2024-01-11,0.0016570272030748,0.0004042180084227699,0.00125280919465203,0.00125280919465203,1.569530878204668e-06,random_forest,macro_only,RQ1_macro_baseline,test,True,2,"dgs10_lag1, vix_lag1",0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",12.69,0.4705882352941176,normal_vix,high_extreme_sentiment,26.3,0.4095816464237516
2024-01-12,0.0007143041502837,0.0004042180084227699,0.0003100861418609301,0.0003100861418609301,9.615341537419688e-08,random_forest,macro_only,RQ1_macro_baseline,test,True,2,"dgs10_lag1, vix_lag1",0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",12.44,0.2272727272727272,normal_vix,normal_extreme_sentiment,26.3,0.4095816464237516
2024-01-16,-0.0001312386288572,0.0004042180084227699,-0.0005354566372799699,0.0005354566372799699,2.8671381040717325e-07,random_forest,macro_only,RQ1_macro_baseline,test,True,2,"dgs10_lag1, vix_lag1",0.011663111890358341,0.015631426893813083,0.20022411007402308,0.00854371452395238,0.011469625125494504,0.0011246356093569387,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}",12.7,0.3125,normal_vix,normal_extreme_sentiment,26.3,0.4095816464237516
