model_family,spec,fold,n_train,n_val,val_start_date,val_end_date,cv_mae,cv_rmse,cv_r2
ols,macro_mean_std,1,252,251,2021-01-04,2021-12-30,0.009141253184919342,0.011893389072557834,-0.03570576797195413
ols,macro_mean_std,2,503,251,2021-12-31,2022-12-29,0.016337682148747368,0.020398226860184526,0.004823740223561024
ols,macro_mean_std,3,754,251,2022-12-30,2023-12-29,0.009907581612788603,0.012278178095938272,-0.17163891505110618
