,nasdaq_return,dgs10_lag1,vix_lag1,sentiment_mean_lag1,sentiment_std_lag1,sentiment_extreme_lag1
nasdaq_return,1.0,-0.010431167458547328,0.044548020716200176,-0.06228500343368561,0.00747893124481996,0.02831795391574825
dgs10_lag1,-0.010431167458547328,1.0,-0.4817622148618699,-0.09697600021889019,0.06300027967944302,-0.0874534663945591
vix_lag1,0.044548020716200176,-0.4817622148618699,1.0,-0.10697887835457345,0.2278695731605429,0.33989118251866474
sentiment_mean_lag1,-0.06228500343368561,-0.09697600021889019,-0.10697887835457345,1.0,-0.23176696981870884,-0.2639342270057807
sentiment_std_lag1,0.00747893124481996,0.06300027967944302,0.2278695731605429,-0.23176696981870884,1.0,0.8456872056138112
sentiment_extreme_lag1,0.02831795391574825,-0.0874534663945591,0.33989118251866474,-0.2639342270057807,0.8456872056138112,1.0
