variable,count,mean,std,min,25%,50%,75%,max,skew,excess_kurtosis
nasdaq_return,1257.0,0.0006859003770247949,0.016458803418651722,-0.13003150583375683,-0.007247122546045346,0.0014227663866820197,0.009737550988221525,0.09596639289383774,-0.5223719599853536,6.256314749008602
dgs10_lag1,1257.0,2.688066825775656,1.3939728092696033,0.52,1.42,2.94,4.01,4.98,-0.11399124828042974,-1.5787733446656562
vix_lag1,1257.0,21.4151153540175,8.264293967645232,11.86,15.92,19.66,24.86,82.69,2.5210812535592977,11.129821271258782
sentiment_mean_lag1,1257.0,-0.021544095704740474,0.11638069721557807,-0.5488512487387749,-0.094908490629771,-0.0157514039513676,0.0523899198583906,0.5160532756903391,0.005021918827901974,1.2968473181200606
sentiment_std_lag1,1257.0,0.6112824800888021,0.04639481407677667,0.3662728331907767,0.586444058644312,0.6146355981102889,0.6418323704088975,0.8137807187245737,-0.8605031663809385,2.8994856995296816
sentiment_extreme_lag1,1257.0,0.3552541173763348,0.07227664735181112,0.0,0.3085106382978723,0.3560687708493713,0.4016853932584269,0.7,0.0870054871616301,1.7474075454608249
