term,coefficient,std_error,t_value,p_value,model_family,spec,condition_number
const,0.0006368120540135276,0.0005511210064452587,1.1554849961553413,0.24816787945135535,ols,macro_mean_extreme,1.8842865719494748
dgs10_lag1,-2.4732919091456824e-05,0.0006106403010395228,-0.04050325379663407,0.9676999978533269,ols,macro_mean_extreme,1.8842865719494748
vix_lag1,0.0007629339003004785,0.0006477350585058271,1.1778487057044404,0.2391371547034304,ols,macro_mean_extreme,1.8842865719494748
sentiment_mean_lag1,-0.0010850783520056897,0.0005920038416973217,-1.8328907273552222,0.06711599654533151,ols,macro_mean_extreme,1.8842865719494748
sentiment_extreme_lag1,-0.00030089930585576875,0.0006302278340044795,-0.4774452818813934,0.6331494087551207,ols,macro_mean_extreme,1.8842865719494748
