term,coefficient,std_error,t_value,p_value,model_family,spec,condition_number
const,0.0006368120540135276,0.0005506208120827199,1.1565346605857303,0.2477387393525481,ols,macro_mean_std,1.8282995331520757
dgs10_lag1,0.00024069034206099227,0.0006390256536909119,0.3766520806649977,0.706512082592106,ols,macro_mean_std,1.8282995331520757
vix_lag1,0.000915407168745599,0.0006335806385181123,1.444815565839659,0.14882295951550573,ols,macro_mean_std,1.8282995331520757
sentiment_mean_lag1,-0.0012092591595840915,0.0005825055368623396,-2.075961657116178,0.03815255116030659,ols,macro_mean_std,1.8282995331520757
sentiment_std_lag1,-0.0008940643749717918,0.0006250469535390801,-1.4303955405422062,0.1529159054320419,ols,macro_mean_std,1.8282995331520757
