term,coefficient,std_error,t_value,p_value,model_family,spec,condition_number
const,0.0006368120540135276,0.0005517701564211295,1.1541255840003992,0.24872415380344662,ols,macro_extreme,1.783407742758786
dgs10_lag1,2.7919710040839006e-05,0.0006106826902806783,0.04571884955181343,0.9635434585932076,ols,macro_extreme,1.783407742758786
vix_lag1,0.0008627368608006355,0.0006462025627068853,1.3350873403947938,0.18215130301524146,ols,macro_extreme,1.783407742758786
sentiment_extreme_lag1,4.850643123827458e-05,0.0006014129361057277,0.08065412019961474,0.9357331467561384,ols,macro_extreme,1.783407742758786
