term,coefficient,std_error,t_value,p_value,model_family,spec,condition_number
const,0.0006368120540135276,0.0005509084325969501,1.1559308522681944,0.24798525829871196,ols,macro_mean,1.5679309661453502
dgs10_lag1,-8.398023629315745e-05,0.0005976679205823638,-0.1405132070855127,0.8882827873610573,ols,macro_mean,1.5679309661453502
vix_lag1,0.0006557191317699663,0.0006073295088996409,1.0796760607894678,0.2805465311053346,ols,macro_mean,1.5679309661453502
sentiment_mean_lag1,-0.000999582703941423,0.0005640543117425254,-1.7721391063449645,0.07667560668816543,ols,macro_mean,1.5679309661453502
