term,coefficient,std_error,t_value,p_value,model_family,spec,condition_number
const,0.0006368120540135276,0.0005518311327479949,1.1539980552426372,0.24877586042566868,ols,sentiment_std_only,1.0000000000000002
sentiment_std_lag1,-0.00028516150015720344,0.0005518311327479953,-0.5167550057155403,0.6054411124435872,ols,sentiment_std_only,1.0000000000000002
