term,coefficient,std_error,t_value,p_value,model_family,spec,condition_number
const,0.0006368120540135276,0.0005515303226059195,1.1546274572985606,0.2485185827067406,ols,macro_std,1.7774650711328166
dgs10_lag1,0.0002616601897603629,0.0006400012167798822,0.40884326920015307,0.6827421362465954,ols,macro_std,1.7774650711328166
vix_lag1,0.0010782847224496172,0.0006297424203553626,1.712263121549193,0.08715790327141065,ols,macro_std,1.7774650711328166
sentiment_std_lag1,-0.0005675326127872773,0.0006059314337558862,-0.9366284387482714,0.34917563040883537,ols,macro_std,1.7774650711328166
