term,coefficient,std_error,t_value,p_value,model_family,spec,condition_number
const,0.0006368120540135276,0.0005507795720590999,1.1562012941634594,0.24787414924309797,ols,sentiment_mean_only,1.0000000000000002
sentiment_mean_lag1,-0.0011154629261964915,0.0005507795720591004,-2.025243823089355,0.04310678265206163,ols,sentiment_mean_only,1.0000000000000002
