model_family,spec,fold,n_train,n_val,val_start_date,val_end_date,cv_mae,cv_rmse,cv_r2
xgboost,macro_mean_std,1,252,251,2021-01-04,2021-12-30,0.010441120886270548,0.013790950781175693,-0.39255885502130283
xgboost,macro_mean_std,2,503,251,2021-12-31,2022-12-29,0.018782016315366717,0.023395764508378054,-0.3091507377848033
xgboost,macro_mean_std,3,754,251,2022-12-30,2023-12-29,0.011993298660504153,0.014981731271571227,-0.7444154983375819
