date,sentiment_mean,sentiment_std,sentiment_extreme,article_count
2020-01-01,0.05976987040457241,0.5308654820163964,0.22994652406417113,187
2020-01-02,0.10635729723105732,0.5713898664605371,0.30248618784530384,1448
2020-01-03,-0.041018141570630454,0.5869636197042113,0.3188010899182561,1835
2020-01-04,0.20421897828226954,0.5260992025977784,0.2440944881889764,127
2020-01-05,-0.011075381790438005,0.42314129865875455,0.13978494623655913,186
2020-01-06,0.023675930690626765,0.5852013913477424,0.288953488372093,1720
2020-01-07,0.09697282836299805,0.5889054103651632,0.3228875209848909,1787
2020-01-08,0.022512879134469133,0.5949981266450315,0.30301624129930393,2155
2020-01-09,0.0982182324815924,0.627359767091297,0.36216779572694113,1919
2020-01-10,0.07040801046129602,0.6119201675199138,0.34615384615384615,1664
2020-01-11,-0.10841757423159751,0.5677193945412853,0.3333333333333333,132
2020-01-12,0.08106732116517237,0.4351953447121355,0.1497584541062802,207
2020-01-13,0.18115719816863918,0.5969668094312162,0.35714285714285715,1876
2020-01-14,0.06588053556183225,0.5557122199293789,0.24191810344827586,1856
2020-01-15,0.07928413882429487,0.542197516689855,0.2724097788125728,2577
2020-01-16,0.16956548672576138,0.5128961029734707,0.25009924573243353,2519
2020-01-17,0.12531622012652602,0.4981119282144401,0.23254835996635828,2378
2020-01-18,0.09779367847514402,0.44559251633036767,0.17801047120418848,191
2020-01-19,0.08596756719052792,0.5793797510469422,0.3,200
2020-01-20,0.15034344276829345,0.5127361142533066,0.2639593908629442,788
2020-01-21,0.04128988244056685,0.49103089173394354,0.21489482660602616,3518
2020-01-22,0.09001886982054685,0.4834422883044548,0.20523891767415084,3474
2020-01-23,0.045695798830206386,0.5366835044225575,0.2640883977900553,3620
2020-01-24,0.06199281246228006,0.5166856620040832,0.24422799422799424,2772
2020-01-25,-0.06196900434041208,0.4692407498353704,0.1937984496124031,129
2020-01-26,-0.0070670541566218775,0.5365543339211624,0.2956204379562044,274
2020-01-27,-0.036492467163091895,0.5466746932734978,0.27351754113629306,3221
2020-01-28,0.15695855124521668,0.5024616302382969,0.24740973312401884,3185
2020-01-29,0.13959608255431408,0.5407739864118047,0.2895797351755901,3474
2020-01-30,0.08007179890090764,0.5649676574159618,0.30405989058450905,3473
2020-01-31,0.025714723752144626,0.5270094814478811,0.2711471610660487,3452
2020-02-01,-0.04410096139718707,0.46761725872744625,0.20512820512820512,156
2020-02-02,0.028017384084788235,0.4132098401539527,0.12237762237762238,286
2020-02-03,0.11317162264268196,0.4998959904760372,0.23217247097844113,3015
2020-02-04,0.16766294428489326,0.47928745110444904,0.22112894873122735,3862
2020-02-05,0.17024155850733014,0.5263924799439891,0.2757201646090535,3645
2020-02-06,0.09359572867371145,0.49325700233105535,0.2287432600580672,4822
2020-02-07,0.041821405506251054,0.5153783004562466,0.24635845471817605,3158
2020-02-08,0.08492478196495686,0.5823611547770056,0.35507246376811596,138
2020-02-09,0.09649614278468809,0.414346877001883,0.15267175572519084,524
2020-02-10,0.09630044164263164,0.42918154099550765,0.1676518001074691,3722
2020-02-11,0.11901329375441376,0.4482248394317638,0.1824275796025856,4177
2020-02-12,0.1719834535371907,0.5058705340423091,0.25081626595428913,3369
2020-02-13,0.11098734125186116,0.4783235611279589,0.21713917525773196,4656
2020-02-14,0.10639209816246667,0.44564940583372226,0.18811881188118812,3636
2020-02-15,-0.01484163733142795,0.5432804720511119,0.23030303030303031,165
2020-02-16,-0.039021398050224886,0.34620707341599416,0.09169054441260745,349
2020-02-17,0.0626383019122963,0.22495371433781372,0.040613462084635045,3521
2020-02-18,0.07391729781411559,0.518064159389181,0.24355909694555114,3765
2020-02-19,0.1437123717907822,0.5171323262718015,0.25225786359389596,3211
2020-02-20,0.11387971162089865,0.5542218257184857,0.28433598183881953,3524
2020-02-21,0.12266305528119821,0.5886070914102144,0.35386151797603194,3004
2020-02-22,0.1608887205739724,0.5263180875351797,0.24074074074074073,324
2020-02-23,0.17345944236154143,0.6288842942125347,0.4539130434782609,575
2020-02-24,-0.0781655487658581,0.5793614549864852,0.3339342045966652,4438
2020-02-25,-0.01724121098526745,0.5873729460868776,0.31264367816091954,3915
2020-02-26,0.004134841339062836,0.5450045258819892,0.27249022164276404,3835
2020-02-27,-0.1035163508717114,0.6077476889935778,0.359822309970385,4052
2020-02-28,-0.17640241127313866,0.5804453474139813,0.3536723163841808,3540
2020-02-29,-0.1524118759590102,0.42278517928831527,0.16888297872340424,752
2020-03-01,2.9401052854732125e-05,0.39219435182897283,0.12934131736526946,835
2020-03-02,0.08214372146961897,0.5349543806448711,0.2548209366391185,2904
2020-03-03,0.022330868595038578,0.5710402109660998,0.29986477349560514,2958
2020-03-04,0.11960650962210108,0.5558105839869637,0.3119946091644205,2968
2020-03-05,-0.13745070201350956,0.6119961068915831,0.36788079470198676,3020
2020-03-06,-0.16154116049061168,0.6254607756063584,0.4113549285963079,2871
2020-03-07,-0.2896375913877745,0.5616151392674787,0.3952702702702703,296
2020-03-08,-0.09102296644130593,0.47352337464162575,0.22641509433962265,318
2020-03-09,-0.29513666266485616,0.5953707693470981,0.4237942122186495,3110
2020-03-10,0.06516902457686666,0.6103284930439211,0.36339255782769025,2983
2020-03-11,-0.14390405557762406,0.6373879274932163,0.4141791044776119,3216
2020-03-12,-0.3109291569075032,0.6130201739055186,0.44211123723041995,3524
2020-03-13,-0.2121364327215282,0.6130081041269151,0.42274881516587676,3165
2020-03-14,-0.36567262264519085,0.6123001428781825,0.5222672064777328,247
2020-03-15,-0.21781654567988862,0.48606847584046153,0.27851458885941643,377
2020-03-16,-0.27957176914613957,0.6324738743448586,0.467210725735937,3431
2020-03-17,0.0363291986122377,0.6014939961812397,0.3364510956707643,3742
2020-03-18,-0.06831086892063601,0.6192254855725736,0.371970802919708,3425
2020-03-19,0.014598205934824615,0.6223397959137646,0.356551724137931,2900
2020-03-20,0.06976395874369126,0.5980457492809318,0.3352017937219731,2676
2020-03-21,-0.30073495206122974,0.590821977985054,0.43521594684385384,301
2020-03-22,-0.04684946431267646,0.5410083913423673,0.25806451612903225,310
2020-03-23,-0.12214827708892426,0.6217160357397856,0.3968253968253968,2961
2020-03-24,0.07455144442798993,0.6219537353184655,0.3570694967476892,2921
2020-03-25,0.10920528162233682,0.5900837366917092,0.34562891921800076,2711
2020-03-26,0.07114651808053639,0.6287423921701395,0.3859470468431772,2946
2020-03-27,-0.1726505457269969,0.6473875070347568,0.4364135407136322,3279
2020-03-28,-0.19111613633189994,0.5183326425219691,0.2964169381107492,307
2020-03-29,-0.0902598739479042,0.48703835018799935,0.24555160142348753,281
2020-03-30,0.05915363658505496,0.6234766165317677,0.3610283159463487,2684
2020-03-31,0.011810997462306235,0.6324602819843086,0.38393800634026065,2839
2020-04-01,-0.22444268179459062,0.6249194885111565,0.42014519056261346,3306
2020-04-02,0.06589911521457222,0.5689160962835277,0.3117744610281924,3015
2020-04-03,-0.09348725894617878,0.617945061869498,0.3750419322375042,2981
2020-04-04,-0.2577312276745685,0.49217431748312956,0.29797979797979796,198
2020-04-05,-0.20446370662790042,0.5907468918012679,0.3952569169960474,253
2020-04-06,0.20082681612157213,0.5946328719598375,0.37140314446751704,3371
2020-04-07,0.22640905804642872,0.603222484376891,0.41633199464524767,3735
2020-04-08,0.16101021102491245,0.5981102154279591,0.38996674057649666,3608
2020-04-09,0.1903657378305244,0.5884590332807109,0.3677154582763338,3655
2020-04-10,0.07018302591357913,0.37452114202005693,0.11085714285714286,875
2020-04-11,-0.17343730893282389,0.535536921527463,0.2897727272727273,176
2020-04-12,-0.06635812048068983,0.4840460460861591,0.22483221476510068,298
2020-04-13,-0.06495654777891359,0.6303851356902095,0.38901869158878505,3424
2020-04-14,0.17585889455060566,0.5870340910680294,0.35863320229815543,3307
2020-04-15,-0.17789289419709137,0.658474956121405,0.4669811320754717,4452
2020-04-16,-0.015751403951367666,0.5926869837072759,0.3318741450068399,3655
2020-04-17,0.24303227145820688,0.5553917123529828,0.36954055587067497,3526
2020-04-18,-0.05341082607935134,0.5521963288380778,0.28289473684210525,152
2020-04-19,-0.07759676698269774,0.46023226062527944,0.1779935275080906,309
2020-04-20,-0.07399819971574796,0.598425450961726,0.35716458777000304,3287
2020-04-21,-0.1574555763844455,0.6126189306379135,0.4014577259475219,3430
2020-04-22,0.11298013279081878,0.5748888808205727,0.3202838267678003,4087
2020-04-23,0.08788927366252615,0.5670708749675025,0.31114362350646185,4101
2020-04-24,0.04968636335870825,0.5484343118966496,0.2713943746259725,3342
2020-04-25,-0.051803965218612365,0.5167586383194375,0.16587677725118483,211
2020-04-26,-0.06254930417984723,0.5200975723466641,0.2675,400
2020-04-27,0.15411425284387645,0.5624936431472659,0.33373727581192436,4126
2020-04-28,0.05364660913544583,0.5913564162351861,0.3378034682080925,4325
2020-04-29,0.2179857345361407,0.5727329967487886,0.3462593027810419,5106
2020-04-30,-0.010001717436206644,0.650851781231125,0.4234938688466323,5627
2020-05-01,-0.11674916222164929,0.6389760654281506,0.42091152815013405,4103
2020-05-02,-0.11315853866469708,0.4644233246745472,0.21019108280254778,314
2020-05-03,0.3271924866299726,0.6351120391948789,0.5747863247863247,468
2020-05-04,-0.004349658433701607,0.5664921819574554,0.3059071729957806,3792
2020-05-05,0.1194485967748331,0.5576831836230989,0.29861644888547273,5204
2020-05-06,0.0880447116715168,0.5606054357501239,0.2980728948470884,4774
2020-05-07,0.11869771138151895,0.5809094106675874,0.321880650994575,4424
2020-05-08,0.1398216030931633,0.5372374122619098,0.2927341453170937,4762
2020-05-09,0.030643451243940027,0.3738700016982267,0.13131313131313133,297
2020-05-10,-0.03499823677752699,0.41556443908035245,0.14,350
2020-05-11,0.0120435980731561,0.5425494023535876,0.28151842615683015,3609
2020-05-12,0.047143167426541024,0.48127700885265395,0.2015462543321781,3751
2020-05-13,-0.07841255355272594,0.5332857664306683,0.276905041031653,4265
2020-05-14,0.026424979110655982,0.48142985552171064,0.21271393643031786,4090
2020-05-15,0.049709325595516836,0.3722079241316249,0.11137162954279015,5118
2020-05-16,-0.06445045554517215,0.5468909619721538,0.2834890965732087,321
2020-05-17,-0.06323853389997232,0.5379323637744169,0.2598684210526316,304
2020-05-18,0.3144078027382705,0.57506627642725,0.4361823361823362,3510
2020-05-19,0.006684573614223544,0.6196415438295786,0.34609861177596934,2089
2020-05-20,0.2502263300107338,0.5815646926219574,0.3716044911264035,2761
2020-05-21,0.04172445154013033,0.580311242380937,0.3041536400178651,2239
2020-05-22,-0.02404817631498187,0.618189595813357,0.35875402792696026,1862
2020-05-23,0.07091689597734291,0.6081156784047625,0.34782608695652173,276
2020-05-24,-0.020048474156256043,0.4968112166210463,0.208955223880597,268
2020-05-25,0.06685161263111138,0.4910433921751235,0.1975806451612903,248
2020-05-26,0.41418445336489523,0.5594412017469463,0.5133432171979244,2698
2020-05-27,0.1714186431389959,0.6014613674862632,0.3791763791763792,2574
2020-05-28,0.07236031445216407,0.5869162867888159,0.32341790609507143,3429
2020-05-29,-0.0011988188305002531,0.586444058644312,0.31299121590383727,2163
2020-05-30,-0.02261724556696468,0.4550478622602835,0.16964285714285715,224
2020-05-31,0.05676716167136287,0.5288373393769263,0.25886524822695034,282
2020-06-01,0.2089127772430211,0.5878122464669433,0.37749287749287747,2106
2020-06-02,0.17246616492918068,0.5647708659030497,0.33315536572343835,1873
2020-06-03,0.2664949536415861,0.5842192321408008,0.33213429256594723,2502
2020-06-04,0.03323418674147757,0.6551302645706873,0.3854524627720504,1746
2020-06-05,0.5160532756903391,0.5921936640843507,0.6758620689655173,2175
2020-06-06,-0.02137099316014963,0.5531207996668601,0.27450980392156865,102
2020-06-07,0.09713570848107338,0.46805158204099223,0.20666666666666667,150
2020-06-08,0.4093551433178136,0.618861197334742,0.6007172743574417,1673
2020-06-09,-0.3838442057771687,0.6477291780678719,0.5873940677966102,1888
2020-06-10,-0.27462237444744036,0.6877281033667842,0.5240670632774472,1849
2020-06-11,-0.5488512487387749,0.6038479786196184,0.6863753213367609,1556
2020-06-12,0.07073604210548229,0.5897490417942833,0.3177966101694915,472
2020-06-13,0.04337386618782249,0.6146751370733313,0.3055555555555556,72
2020-06-14,0.015057595138964446,0.5048696808836898,0.20869565217391303,115
2020-06-15,-0.25226146206971567,0.621131499969612,0.4012738853503185,471
2020-06-16,0.24167462023498848,0.5992213185481468,0.4022346368715084,537
2020-06-17,-0.10889643000049906,0.6872631775630665,0.46153846153846156,455
2020-06-18,-0.13226396982760028,0.597894181372347,0.31981279251170047,641
2020-06-19,0.057535056765404186,0.6504731738768579,0.4095427435387674,503
2020-06-20,-0.07905374331907793,0.5332379225093085,0.2727272727272727,66
2020-06-21,-0.030106176788261694,0.5005684351693402,0.24806201550387597,129
