Date,nasdaq_close
2020-01-02,8872.2197265625
2020-01-03,8793.900390625
2020-01-06,8848.51953125
2020-01-07,8846.4501953125
2020-01-08,8912.3701171875
2020-01-09,8989.6298828125
2020-01-10,8966.6396484375
2020-01-13,9070.650390625
2020-01-14,9033.419921875
2020-01-15,9035.669921875
2020-01-16,9125.0
2020-01-17,9173.73046875
2020-01-21,9166.6298828125
2020-01-22,9188.580078125
2020-01-23,9216.98046875
2020-01-24,9141.4697265625
2020-01-27,8952.1796875
2020-01-28,9090.9296875
2020-01-29,9101.6103515625
2020-01-30,9136.08984375
2020-01-31,8991.509765625
2020-02-03,9126.23046875
2020-02-04,9334.0595703125
2020-02-05,9367.48046875
2020-02-06,9445.919921875
2020-02-07,9401.099609375
2020-02-10,9516.83984375
2020-02-11,9517.8603515625
2020-02-12,9613.2001953125
2020-02-13,9595.7001953125
2020-02-14,9623.580078125
2020-02-18,9629.7998046875
2020-02-19,9718.73046875
2020-02-20,9627.830078125
2020-02-21,9446.6904296875
2020-02-24,9079.6298828125
2020-02-25,8834.8701171875
2020-02-26,8873.759765625
2020-02-27,8436.669921875
2020-02-28,8461.830078125
2020-03-02,8877.98046875
2020-03-03,8594.490234375
2020-03-04,8949.2802734375
2020-03-05,8671.66015625
2020-03-06,8530.33984375
2020-03-09,7948.02978515625
2020-03-10,8372.26953125
2020-03-11,8006.1201171875
2020-03-12,7263.64990234375
2020-03-13,7995.259765625
2020-03-16,7020.3798828125
2020-03-17,7473.9501953125
2020-03-18,7175.18017578125
2020-03-19,7288.52001953125
2020-03-20,6994.2900390625
2020-03-23,7006.919921875
2020-03-24,7553.830078125
2020-03-25,7469.6201171875
2020-03-26,7897.1298828125
2020-03-27,7588.3701171875
2020-03-30,7889.009765625
2020-03-31,7813.5
2020-04-01,7486.2900390625
2020-04-02,7635.66015625
2020-04-03,7528.10986328125
2020-04-06,8081.66015625
2020-04-07,8049.31005859375
2020-04-08,8229.5400390625
2020-04-09,8238.5302734375
2020-04-13,8332.740234375
2020-04-14,8692.16015625
2020-04-15,8591.9599609375
2020-04-16,8757.830078125
2020-04-17,8832.41015625
2020-04-20,8726.509765625
2020-04-21,8403.0
2020-04-22,8664.6396484375
2020-04-23,8641.5
2020-04-24,8786.599609375
2020-04-27,8837.66015625
2020-04-28,8677.599609375
2020-04-29,8982.759765625
2020-04-30,9000.509765625
2020-05-01,8718.1796875
2020-05-04,8834.1103515625
2020-05-05,8930.6201171875
2020-05-06,8984.8603515625
2020-05-07,9101.8798828125
2020-05-08,9220.349609375
2020-05-11,9298.919921875
2020-05-12,9112.4501953125
2020-05-13,9000.080078125
2020-05-14,9094.419921875
2020-05-15,9152.6396484375
2020-05-18,9331.9296875
2020-05-19,9298.5400390625
2020-05-20,9485.01953125
2020-05-21,9377.990234375
2020-05-22,9413.990234375
2020-05-26,9389.98046875
2020-05-27,9442.0498046875
2020-05-28,9416.7099609375
2020-05-29,9555.5302734375
2020-06-01,9598.8896484375
2020-06-02,9657.3095703125
2020-06-03,9704.6904296875
2020-06-04,9629.66015625
2020-06-05,9824.3896484375
2020-06-08,9901.51953125
2020-06-09,9967.169921875
2020-06-10,10094.259765625
2020-06-11,9588.48046875
2020-06-12,9663.7802734375
2020-06-15,9776.8896484375
2020-06-16,9949.3701171875
2020-06-17,9982.48046875
2020-06-18,10012.0498046875
2020-06-19,10008.6396484375
2020-06-22,10130.330078125
2020-06-23,10209.8203125
2020-06-24,10002.7001953125
2020-06-25,10101.830078125
2020-06-26,9849.3603515625
2020-06-29,9961.16015625
2020-06-30,10156.849609375
2020-07-01,10279.25
2020-07-02,10341.8896484375
2020-07-06,10604.0595703125
2020-07-07,10524.009765625
2020-07-08,10666.7001953125
2020-07-09,10754.58984375
2020-07-10,10836.330078125
2020-07-13,10602.2099609375
2020-07-14,10689.51953125
2020-07-15,10701.6796875
2020-07-16,10626.4599609375
2020-07-17,10645.2197265625
2020-07-20,10952.080078125
2020-07-21,10833.0703125
2020-07-22,10870.75
2020-07-23,10580.58984375
2020-07-24,10483.1298828125
2020-07-27,10674.3798828125
2020-07-28,10532.5
2020-07-29,10662.98046875
2020-07-30,10715.509765625
2020-07-31,10905.8798828125
2020-08-03,11055.080078125
2020-08-04,11096.5400390625
2020-08-05,11125.4404296875
2020-08-06,11267.080078125
2020-08-07,11139.3896484375
2020-08-10,11085.169921875
2020-08-11,10876.080078125
2020-08-12,11157.7197265625
2020-08-13,11178.3701171875
2020-08-14,11164.4501953125
2020-08-17,11288.5703125
2020-08-18,11399.0302734375
2020-08-19,11318.6396484375
2020-08-20,11477.0498046875
2020-08-21,11555.16015625
2020-08-24,11626.169921875
2020-08-25,11721.8095703125
2020-08-26,11971.9404296875
2020-08-27,11926.16015625
2020-08-28,11995.849609375
2020-08-31,12110.7001953125
2020-09-01,12292.8603515625
2020-09-02,12420.5400390625
2020-09-03,11771.3701171875
2020-09-04,11622.1298828125
2020-09-08,11068.259765625
2020-09-09,11395.849609375
2020-09-10,11154.1201171875
2020-09-11,11087.400390625
2020-09-14,11277.759765625
2020-09-15,11438.8701171875
2020-09-16,11247.599609375
2020-09-17,11080.9501953125
2020-09-18,10936.98046875
2020-09-21,10980.2197265625
2020-09-22,11186.3701171875
2020-09-23,10833.330078125
2020-09-24,10896.4697265625
2020-09-25,11151.1298828125
2020-09-28,11364.4501953125
2020-09-29,11322.9501953125
2020-09-30,11418.0595703125
2020-10-01,11583.2001953125
2020-10-02,11255.6904296875
2020-10-05,11509.0595703125
2020-10-06,11291.26953125
2020-10-07,11503.1904296875
2020-10-08,11550.9404296875
2020-10-09,11725.849609375
2020-10-12,12088.1103515625
2020-10-13,12083.169921875
2020-10-14,11985.3603515625
2020-10-15,11898.5703125
2020-10-16,11852.169921875
2020-10-19,11634.349609375
2020-10-20,11677.83984375
