model_family,spec,feature_spec_role,n_features,feature_list,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,baseline_cv_mean_mae,baseline_cv_mean_rmse,baseline_cv_mean_r2,baseline_test_mae,baseline_test_rmse,baseline_test_r2,is_rq3_incremental_spec,delta_cv_mae_vs_macro_only,delta_cv_rmse_vs_macro_only,delta_cv_r2_vs_macro_only,delta_test_mae_vs_macro_only,delta_test_rmse_vs_macro_only,delta_test_r2_vs_macro_only,delta_error_interpretation,comparison_note
ols,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.0120576049949711,0.004529630762499779,0.01512315946306063,0.005345128864174217,-0.09199845704261489,0.07994795642433282,0.01235985584655528,0.017457226464204303,0.0024801381377677068,0.008637481611752125,0.011497422704671367,-0.0037229446212099226,0.011795097600260283,0.01488226168927472,-0.06809535189323516,0.008636119427297502,0.011500040218680273,-0.0041800136528016285,True,0.0002625073947108165,0.00024089777378591068,-0.023903105149379725,1.3621844546229944e-06,-2.6175140089065158e-06,0.00045706903159170587,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only.",RQ3: incremental sentiment value beyond macro_only
ols,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.011835650776700403,0.0040740476396976515,0.014872425144513443,0.004889815007984872,-0.06810260855559262,0.10522937323010888,0.012356534989959866,0.017429962742574502,0.005593446796671064,0.008609596139502101,0.01146911196486475,0.0012140146498611504,0.011795097600260283,0.01488226168927472,-0.06809535189323516,0.008636119427297502,0.011500040218680273,-0.0041800136528016285,True,4.055317644011992e-05,-9.836544761276933e-06,-7.256662357457699e-06,-2.6523287795400877e-05,-3.0928253815523665e-05,0.005394028302662779,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only.",RQ3: incremental sentiment value beyond macro_only
ols,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.01200382905562152,0.004371876026980877,0.01502572387384938,0.00516965200621077,-0.08289930527578893,0.09503436770920426,0.012353407541430295,0.017427976467313564,0.005820074084710414,0.00862541070467707,0.011497917433916809,-0.003809326028835436,0.011795097600260283,0.01488226168927472,-0.06809535189323516,0.008636119427297502,0.011500040218680273,-0.0041800136528016285,True,0.00020873145536123676,0.00014346218457465983,-0.014803953382553761,-1.070872262043214e-05,-2.1227847634645164e-06,0.0003706876239661927,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only.",RQ3: incremental sentiment value beyond macro_only
ols,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.011795505648818436,0.003952257624727937,0.01485659800956021,0.00480304626114327,-0.06750698093316643,0.09242973026034314,0.01233380604469408,0.017412158932729575,0.007623879502204556,0.008746327075674592,0.01165634053950812,-0.031661701755868465,0.011795097600260283,0.01488226168927472,-0.06809535189323516,0.008636119427297502,0.011500040218680273,-0.0041800136528016285,True,4.080485581526433e-07,-2.5663679714509058e-05,0.0005883709600687376,0.00011020764837708918,0.00015630032082784677,-0.027481688103066837,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only.",RQ3: incremental sentiment value beyond macro_only
ols,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.011795097600260283,0.004079056202133157,0.01488226168927472,0.004911289284133995,-0.06809535189323516,0.08750909200164791,0.012359709387651432,0.017457283187777863,0.0024736556666480336,0.008636119427297502,0.011500040218680273,-0.0041800136528016285,0.011795097600260283,0.01488226168927472,-0.06809535189323516,0.008636119427297502,0.011500040218680273,-0.0041800136528016285,False,0.0,0.0,0.0,0.0,0.0,0.0,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only.",RQ1: macro baseline reference
ols,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.011833676517137418,0.004050434737552472,0.014924072195842903,0.004882641640922268,-0.07479706199245555,0.07596566216360791,0.012348016511712535,0.017449638461886362,0.003347118699585705,0.008698280917524554,0.011590238770772306,-0.019994008805356955,0.011795097600260283,0.01488226168927472,-0.06809535189323516,0.008636119427297502,0.011500040218680273,-0.0041800136528016285,True,3.857891687713416e-05,4.1810506568183e-05,-0.0067017100992203815,6.216149022705147e-05,9.019855209203322e-05,-0.015813995152555327,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only.",RQ3: incremental sentiment value beyond macro_only
ols,sentiment_extreme_only,RQ2_standalone_sentiment,1,sentiment_extreme_lag1,0.011508982418370178,0.004521260151244443,0.014618375569900583,0.00531425009804477,-0.014390284513986348,0.020482565081891134,0.012368827726195034,0.01747562200860638,0.00037675830720051984,0.008552518915731324,0.011454470229185242,0.003762533802573298,0.011795097600260283,0.01488226168927472,-0.06809535189323516,0.008636119427297502,0.011500040218680273,-0.0041800136528016285,False,-0.0002861151818901054,-0.00026388611937413695,0.053705067379248815,-8.360051156617795e-05,-4.556998949503156e-05,0.007942547455374926,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only.",RQ2: standalone sentiment performance compared against macro_only reference; not an incremental-addition test
ols,sentiment_mean_only,RQ2_standalone_sentiment,1,sentiment_mean_lag1,0.011493885671448734,0.004405572831587758,0.014603931892749967,0.005180317972649666,-0.01610522886055854,0.012224912204940909,0.012365984995428627,0.017443285568051633,0.004072689877444469,0.008567217532550046,0.01147066169044815,0.0009440811498258039,0.011795097600260283,0.01488226168927472,-0.06809535189323516,0.008636119427297502,0.011500040218680273,-0.0041800136528016285,False,-0.0003012119288115494,-0.0002783297965247532,0.051990123032676624,-6.890189474745637e-05,-2.9378528232123016e-05,0.0051240948026274324,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only.",RQ2: standalone sentiment performance compared against macro_only reference; not an incremental-addition test
ols,sentiment_std_only,RQ2_standalone_sentiment,1,sentiment_std_lag1,0.011476406626219965,0.004472759334062123,0.014612135628735722,0.005274552563658986,-0.014527653898576428,0.011674258640509819,0.012362737376819465,0.017476588679348877,0.0002661661615707134,0.008600025074482686,0.01153177428218003,-0.009729677722804864,0.011795097600260283,0.01488226168927472,-0.06809535189323516,0.008636119427297502,0.011500040218680273,-0.0041800136528016285,False,-0.00031869097404031883,-0.00027012606053899817,0.053567697994658735,-3.609435281481596e-05,3.173406349975608e-05,-0.005549664070003235,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only.",RQ2: standalone sentiment performance compared against macro_only reference; not an incremental-addition test
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.011944474159706446,0.004374086638239866,0.015206320418719957,0.005065512905409914,-0.11377758344172695,0.09241722669300236,0.011535296675767682,0.015931292460867844,0.1692447763346765,0.008547490559970072,0.011500017875182145,-0.0041761116016725275,0.01238233197267536,0.01572727984677635,-0.21081828464609242,0.008530520169965361,0.01148331997333224,-0.0012621229241795984,True,-0.00043785781296891424,-0.0005209594280563938,0.09704070120436548,1.697039000471065e-05,1.6697901849905064e-05,-0.002913988677492929,"For MAE/RMSE deltas, negative values indicate lower error than macro_only. For R2 deltas, positive values indicate higher R2 than macro_only.",RQ3: incremental sentiment value beyond macro_only
